VOLTAGE=-57.000000000000000, I_K=0.000000000000000, I_L=0.000000000000000, I_Na=0.000000000000000, I_T=0.000000000000000, H=0.982013790037908, R=0.001169510265056
VOLTAGE=-57.004719253536862, I_K=-0.000002980205407, I_L=-0.650000000000000, I_Na=0.050505698124007, I_T=0.127571928395428, H=0.982013790037908, R=0.001169510265056
VOLTAGE=-57.009437725304245, I_K=-0.000002979424055, I_L=-0.649764037323157, I_Na=0.050411410417042, I_T=0.127508429591534, H=0.982013840094183, R=0.001169512138396
VOLTAGE=-57.014155411681770, I_K=-0.000002978609673, I_L=-0.649528113734788, I_Na=0.050317313254682, I_T=0.127445141337548, H=0.982013940045217, R=0.001169515883705
VOLTAGE=-57.018872309057997, I_K=-0.000002977762397, I_L=-0.649292229415912, I_Na=0.050223406294654, I_T=0.127382063261156, H=0.982014089729805, R=0.001169521499612
VOLTAGE=-57.023588413830439, I_K=-0.000002976882361, I_L=-0.649056384547100, I_Na=0.050129689194954, I_T=0.127319194990535, H=0.982014288987060, R=0.001169528984750
VOLTAGE=-57.028303722405539, I_K=-0.000002975969701, I_L=-0.648820579308478, I_Na=0.050036161613853, I_T=0.127256536154349, H=0.982014537656403, R=0.001169538337753
VOLTAGE=-57.033018231198668, I_K=-0.000002975024553, I_L=-0.648584813879723, I_Na=0.049942823209892, I_T=0.127194086381750, H=0.982014835577573, R=0.001169549557258
VOLTAGE=-57.037731936634096, I_K=-0.000002974047052, I_L=-0.648349088440067, I_Na=0.049849673641890, I_T=0.127131845302378, H=0.982015182590617, R=0.001169562641906
VOLTAGE=-57.042444835144998, I_K=-0.000002973037337, I_L=-0.648113403168295, I_Na=0.049756712568945, I_T=0.127069812546360, H=0.982015578535896, R=0.001169577590338
VOLTAGE=-57.047156923173432, I_K=-0.000002971995543, I_L=-0.647877758242750, I_Na=0.049663939650430, I_T=0.127007987744309, H=0.982016023254084, R=0.001169594401199
VOLTAGE=-57.051868197170329, I_K=-0.000002970921810, I_L=-0.647642153841328, I_Na=0.049571354546005, I_T=0.126946370527327, H=0.982016516586165, R=0.001169613073135
VOLTAGE=-57.056578653595480, I_K=-0.000002969816275, I_L=-0.647406590141484, I_Na=0.049478956915609, I_T=0.126884960527002, H=0.982017058373436, R=0.001169633604795
VOLTAGE=-57.061288288917524, I_K=-0.000002968679076, I_L=-0.647171067320226, I_Na=0.049386746419469, I_T=0.126823757375406, H=0.982017648457502, R=0.001169655994830
VOLTAGE=-57.065997099613938, I_K=-0.000002967510352, I_L=-0.646935585554124, I_Na=0.049294722718097, I_T=0.126762760705100, H=0.982018286680283, R=0.001169680241895
VOLTAGE=-57.070705082171017, I_K=-0.000002966310243, I_L=-0.646700145019303, I_Na=0.049202885472297, I_T=0.126701970149128, H=0.982018972884007, R=0.001169706344645
VOLTAGE=-57.075412233083881, I_K=-0.000002965078889, I_L=-0.646464745891449, I_Na=0.049111234343159, I_T=0.126641385341023, H=0.982019706911211, R=0.001169734301739
VOLTAGE=-57.080118548856433, I_K=-0.000002963816430, I_L=-0.646229388345806, I_Na=0.049019768992070, I_T=0.126581005914800, H=0.982020488604745, R=0.001169764111837
VOLTAGE=-57.084824026001378, I_K=-0.000002962523005, I_L=-0.645994072557178, I_Na=0.048928489080709, I_T=0.126520831504961, H=0.982021317807767, R=0.001169795773603
VOLTAGE=-57.089528661040191, I_K=-0.000002961198756, I_L=-0.645758798699931, I_Na=0.048837394271052, I_T=0.126460861746492, H=0.982022194363744, R=0.001169829285702
VOLTAGE=-57.094232450503107, I_K=-0.000002959843825, I_L=-0.645523566947991, I_Na=0.048746484225372, I_T=0.126401096274864, H=0.982023118116453, R=0.001169864646801
VOLTAGE=-57.098935390929114, I_K=-0.000002958458352, I_L=-0.645288377474845, I_Na=0.048655758606242, I_T=0.126341534726032, H=0.982024088909979, R=0.001169901855571
VOLTAGE=-57.103637478865942, I_K=-0.000002957042479, I_L=-0.645053230453544, I_Na=0.048565217076537, I_T=0.126282176736434, H=0.982025106588715, R=0.001169940910683
VOLTAGE=-57.108338710870051, I_K=-0.000002955596349, I_L=-0.644818126056703, I_Na=0.048474859299434, I_T=0.126223021942993, H=0.982026170997364, R=0.001169981810813
VOLTAGE=-57.113039083506600, I_K=-0.000002954120105, I_L=-0.644583064456497, I_Na=0.048384684938415, I_T=0.126164069983116, H=0.982027281980936, R=0.001170024554636
VOLTAGE=-57.117738593349465, I_K=-0.000002952613888, I_L=-0.644348045824670, I_Na=0.048294693657269, I_T=0.126105320494693, H=0.982028439384747, R=0.001170069140833
VOLTAGE=-57.122437236981206, I_K=-0.000002951077842, I_L=-0.644113070332527, I_Na=0.048204885120092, I_T=0.126046773116094, H=0.982029643054423, R=0.001170115568085
VOLTAGE=-57.127135010993065, I_K=-0.000002949512110, I_L=-0.643878138150940, I_Na=0.048115258991291, I_T=0.125988427486176, H=0.982030892835894, R=0.001170163835075
VOLTAGE=-57.131831911984939, I_K=-0.000002947916837, I_L=-0.643643249450347, I_Na=0.048025814935584, I_T=0.125930283244276, H=0.982032188575400, R=0.001170213940489
VOLTAGE=-57.136527936565386, I_K=-0.000002946292166, I_L=-0.643408404400753, I_Na=0.047936552618002, I_T=0.125872340030214, H=0.982033530119485, R=0.001170265883015
VOLTAGE=-57.141223081351605, I_K=-0.000002944638241, I_L=-0.643173603171731, I_Na=0.047847471703890, I_T=0.125814597484291, H=0.982034917315000, R=0.001170319661344
VOLTAGE=-57.145917342969419, I_K=-0.000002942955206, I_L=-0.642938845932420, I_Na=0.047758571858910, I_T=0.125757055247291, H=0.982036350009102, R=0.001170375274168
